enterprise;organization;system;owner;environment;site;language;full_member;member;item_type;item;relationship;full_member_related;member_related;item_type_related;item_related;hash;hash_related;sequencing;structure;label;level;language_cross;date;time,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.StepCobrancaPlanoSaudeProcessor;StepCobrancaPlanoSaudeProcessor;METHOD;calculaDiferencaDiaAtual;Realizes;.StepCobrancaPlanoSaudeProcessor;StepCobrancaPlanoSaudeProcessor;CLASS;StepCobrancaPlanoSaudeProcessor;02001a6d102426cee512f3e58c5e9462fc2c462bc99b5d4884f7f20006d47aef;9f9e05f5250a79ea2b495477211b27e7053323d1fe9ead2638f3c864de00939e;137;structure;label;level;language_cross;2023-03-13;1678704707933710200,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0189.model;PreLancamentoLote;METHOD;setIdProdutoInstituicao;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;getDataAgendamento;023561e8f9cdda64669c1162a7f9a0a248a1efeef02e8391c5c42142de7250e5;be1c8cb55453365621f2ebbe65cb7c71512c2d2c7a83824706d40d21a6af9b74;96;structure;label;level;language_cross;2023-03-13;1678704708173110600,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAD;br.com.itspay.proc0189.vo.ProdutoContratadoVO.jad;ProdutoContratadoVO;PACKAGE;br.com.itspay.proc0189.vo;Packages;br.com.itspay.proc0189.vo.ProdutoContratadoVO.jad;ProdutoContratadoVO.jad;CLASS;ProdutoContratadoVO.jad;029a2fb434931f3efedf28173b8a3dc8e429e10779dcac7d8f3b25bfe9902267;a0e255c4c385a922c72f7d8dacd9eed66e57a040d1f1810f0c13f63a6739fa62;1;structure;label;level;language_cross;2023-03-13;1678732658576644900,,,,,
system;system;system;system;system;system;JAD;java.lang;TransacoesPagamentoPlanoSaudeEnum;CLASS;Boolean;Formats;br.com.itspay.proc0105.util.enums.TransacoesPagamentoPlanoSaudeEnum.jad;TransacoesPagamentoPlanoSaudeEnum.jad;METHOD;getEstorno;02b8c4507390a56af80b2cb19c4f24876970734fdcc11f8feb44dc66d59883cf;07bd8847c24c3a9c7abc7aa75308eb283681d8ff0f08b1ec97ffe910ff9ec49e;36;structure;label;level;language_cross;2023-03-13;1678732657748511000,,,,,
system;system;system;system;system;system;JAD;java.lang;DataUtil;CLASS;Boolean;Formats;br.com.itspay.proc0189.util.DataUtil.jad;DataUtil.jad;METHOD;isDayUtil;02b8c4507390a56af80b2cb19c4f24876970734fdcc11f8feb44dc66d59883cf;a273536920df5f614dc0bc6c126c82714c97e244af2210c3036c1a4fd1ef4ca1;56;structure;label;level;language_cross;2023-03-13;1678732658476384700,,,,,
system;system;system;system;system;system;JAD;java.lang;StepCriarPedidoReader;CLASS;Boolean;Formats;br.com.itspay.proc0189.step.criar.pedido.StepCriarPedidoReader.jad;StepCriarPedidoReader.jad;METHOD;isEmpresaAdimplente;02b8c4507390a56af80b2cb19c4f24876970734fdcc11f8feb44dc66d59883cf;ffb3a7cbd3700b915d1ae5c7907011466e704948e62cfd97e8bf7bc7dec33d83;124;structure;label;level;language_cross;2023-03-13;1678732658195015600,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.DegloseContabId;DegloseContabId;VARIABLE_VALUE;0x28649L;Ascribes;.DegloseContabId;DegloseContabId;VARIABLE;serialVersionUID;02d869ebe3883b86961fbe6225547197409b6531d11be760cc56bf9e1155e9d3;eba96955f65312f44b0ae28ecd7912d682fae39160091af4916fae106e4e731a;27;structure;label;level;language_cross;2023-03-13;1678704707697748700,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.step.StepCobrancaPlanoSaudeProcessor;StepCobrancaPlanoSaudeProcessor;CLASS;dataFimVigencia;Brings_About;br.com.itspay.proc0105.step.StepCobrancaPlanoSaudeProcessor;dataFimVigencia;METHOD;before;02f3937529656cfa48302344bb4154a680205834a1a80f3c5ab7a1b230d7c543;1c00732a61161d981bdca21f5e255c3f508acac2f4a12903dc27e68b810a2411;128;structure;label;level;language_cross;2023-03-13;1678704707933710200,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.step.StepCobrancaPlanoSaudeProcessor;StepCobrancaPlanoSaudeProcessor;CLASS;dataFimVigencia;Brings_About;br.com.itspay.proc0105.step.StepCobrancaPlanoSaudeProcessor;dataFimVigencia;METHOD;getTime;02f3937529656cfa48302344bb4154a680205834a1a80f3c5ab7a1b230d7c543;4b2cf272e461702cd1ebc69beb51f23394f44c0ddcd186d1ce44e5e493631bb9;157;structure;label;level;language_cross;2023-03-13;1678704707935756200,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.step.StepCobrancaPlanoSaudeProcessor;StepCobrancaPlanoSaudeProcessor;CLASS;dataFimVigencia;Brings_About;br.com.itspay.proc0105.step.StepCobrancaPlanoSaudeProcessor;dataFimVigencia;METHOD;Date;02f3937529656cfa48302344bb4154a680205834a1a80f3c5ab7a1b230d7c543;96598e8e153addd74e8b0a2cbbdba5f016cfee4700b36bb045ddb5af78a4f071;132;structure;label;level;language_cross;2023-03-13;1678704707933710200,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.Application;Application;METHOD;Application;Realizes;.Application;Application;CLASS;Application;0366fb1bc648b82be4d673c886b27596159377ad16f6908e3752cb71e5a286ef;135e0122deef4c560ca4a750a4705508ac50b7041a09a926af776d423d373d15;10;structure;label;level;language_cross;2023-03-13;1678704708037369600,,,,,
system;system;system;system;system;system;JAD;java.lang;RegistroLancamentoEnum;CLASS;Class;Formats;br.com.itspay.proc0189.enums.RegistroLancamentoEnum.jad;RegistroLancamentoEnum.jad;METHOD;getTipoColuna;03f2b8ff152fd141e8acf397b3b400ce1cab813ab570762c51d359bc20cfeb10;0ea4305e989c8381b0affea90e5edfbeb409954207f319bd032b4408377a3fe1;39;structure;label;level;language_cross;2023-03-13;1678732657812170800,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAD;br.com.itspay.proc0105.model.DegloseContab.jad;DegloseContabId;CLASS;DegloseContabId.jad;Imports;java.io.Serializable;java.io;IMPORTEE;Serializable;03f492b053e59c102740e979719b5de94495a226e457e68a01f4b63024a35f96;a8dc9dd19f12efe918d0253ae4b45d6d98b0360958188aa44d719ad98dc0d0bb;3;structure;label;level;language_cross;2023-03-13;1678732657447012300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAD;br.com.itspay.proc0105.model.DegloseContab.jad;DegloseContabId;CLASS;DegloseContabId.jad;Summons;br.com.itspay.proc0105.model.DegloseContabId.jad;DegloseContabId.jad;CLASS;DegloseContabId.jad;03f492b053e59c102740e979719b5de94495a226e457e68a01f4b63024a35f96;c2d36fcfeafc16c332fd430727a1bcb0adf64b2599a7db21e0a2ad7d54058952;4;structure;label;level;language_cross;2023-03-13;1678732657447012300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.TransacoesPagamentoPlanoSaudeEnum;TransacoesPagamentoPlanoSaudeEnum;METHOD;setCodTransacao;Realizes;.TransacoesPagamentoPlanoSaudeEnum;TransacoesPagamentoPlanoSaudeEnum;CLASS;TransacoesPagamentoPlanoSaudeEnum;046bb8f8d361910c6b216321a6df27e9a2866cc88c25fc0caef1dc7fb8ef2e88;1ebd3367958ab603f1f4369a0b72af69505603c4146ede8d36e6f77e5da4ef6b;43;structure;label;level;language_cross;2023-03-13;1678704707989954500,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;getDtHrCancelamento;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;06b2568452db1b2b53b8a53867ea9b3d50591e801f8f9078e5dd2045af02cff2;49;structure;label;level;language_cross;2023-03-13;1678704707736962100,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;br.com.itspay.proc0105.model.PlanoSaudeProdutoContratado;model;METHOD;getPlanoSaude;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;099b8d666e4c987c9f9f22dff5b431f855d660374c879f395a69a891c81fd25a;58;structure;label;level;language_cross;2023-03-13;1678704707737998600,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;getIdContrato;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;13874a5d9b5e5ae6b0065cc83b82e6a1ba1b1af629c5b6a9401ce8ef1e7b7a22;37;structure;label;level;language_cross;2023-03-13;1678704707734919300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;getVigenciasPendentesDoContrato;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;17922fb87ae0928659e1eb0d9b65d78b9191e0830450c3ca1f38ea5937d2d81a;70;structure;label;level;language_cross;2023-03-13;1678704707740033800,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;getPlanoSaudeProdutoVigenciaList;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;2581e0e685970d14fe1cd48507eaa416bcab6282fab0ec521c5b0ed05ecab49c;61;structure;label;level;language_cross;2023-03-13;1678704707737998600,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;br.com.itspay.proc0105.model.PlanoSaudeProdutoContratado;model;METHOD;getUltimaVigencia;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;26168541086ab79264d6b447874e105340fbe14a2410519331f3cad6a86fcea0;67;structure;label;level;language_cross;2023-03-13;1678704707739017800,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;getIdPessoa;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;27e608ff2b491a58508b52f73179fc1f943aeaf01f5d08a120bf0d7334afb241;64;structure;label;level;language_cross;2023-03-13;1678704707739017800,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;getIdUsuarioInclusao;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;3445637eece95397fdb94b69d828ae49863f53b1780d8e3e7235b9a6cf73e55f;40;structure;label;level;language_cross;2023-03-13;1678704707735935400,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;toString;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;389ef1247ce87188d8da7b07c019b247aaf872ca66d8ceb8d245d6dd7f09f6cc;11;structure;label;level;language_cross;2023-03-13;1678704707731863600,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;getIdUsuarioCancelamento;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;59be0727fe0450106af008238a5d858ea0b064ee27b2ad6d0297c10a7df1628f;46;structure;label;level;language_cross;2023-03-13;1678704707735935400,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;getStatus;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;74b6a1f1e36dd3ab6c5d6b4f7d796e38a713eb398f1bac6beaafebbdfe05e0eb;52;structure;label;level;language_cross;2023-03-13;1678704707736962100,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;Invokes;br.com.itspay.proc0105.model.PlanoSaudeProdutoContratado;model;METHOD;getContaPagamento;047bcb7454425d2f759503858e9db6e3ebcf084b6abe2028d304c4603358205e;9a90136abd6498f7e52460c83ae9935a392b177e920a040b978c9c35f9d567b1;55;structure;label;level;language_cross;2023-03-13;1678704707737998600,,,,,
